quarter,department,targeted_productivity,smv,wip,over_time,incentive,idle_time,no_of_style_change,no_of_workers,actual_productivity
Quarter1,sweing,0.8,11.61,1005,7080,50,0,0,29.5,0.800237288
Quarter1,sweing,0.8,11.61,659,7080,50,0,0,31.5,0.800148649
Quarter1,sweing,0.8,25.9,1152,6720,50,0,0,56,0.800125
Quarter1,sweing,0.8,25.9,1138,6720,38,0,0,56,0.800125
Quarter1,sweing,0.75,19.31,610,6480,56,0,0,54,0.787299691
Quarter1,finishing ,0.8,4.15,,960,0,0,0,8,0.782447917
Quarter1,sweing,0.75,19.87,944,6600,45,0,0,55,0.75024303
Quarter1,finishing ,0.7,4.15,,960,0,0,0,8,0.7018125
Quarter1,sweing,0.7,23.69,544,13800,0,0,0,60,0.700134038
Quarter1,sweing,0.7,28.08,1072,6900,40,0,0,57.5,0.699965217
Quarter1,finishing ,0.8,2.9,,960,0,0,0,8,0.628333333
Quarter1,finishing ,0.8,3.94,,960,0,0,0,8,0.6253125
Quarter1,finishing ,0.75,4.15,,1560,0,0,0,8,0.991388889
Quarter1,finishing ,0.8,3.94,,960,0,0,0,8,0.931645833
Quarter1,finishing ,0.8,3.94,,960,0,0,0,8,0.915229167
Quarter1,sweing,0.8,11.61,539,6975,50,0,0,31,0.879714482
Quarter1,finishing ,0.8,3.94,,6600,0,0,0,20,0.861679012
Quarter1,sweing,0.8,26.16,1278,7080,60,0,0,59,0.850569492
Quarter1,sweing,0.8,25.9,1227,7020,60,0,0,56.5,0.850436438
Quarter1,sweing,0.8,25.9,1039,6780,45,0,0,56.5,0.850345133
Quarter1,sweing,0.8,28.08,878,4260,50,0,0,55.5,0.800598058
Quarter1,sweing,0.8,26.16,1033,7080,63,0,0,59,0.800318644
Quarter1,sweing,0.8,28.08,782,6660,50,0,0,55.5,0.800237838
Quarter1,sweing,0.8,11.61,1216,6975,50,0,0,31,0.800030199
Quarter1,finishing ,0.8,3.94,,960,0,0,0,8,0.792104167
Quarter1,finishing ,0.7,3.94,,4320,0,0,0,18,0.759228395
Quarter1,sweing,0.75,19.31,513,6480,45,0,0,54,0.750348457
Quarter1,sweing,0.75,19.87,734,6600,45,0,0,55,0.75024303
Quarter1,sweing,0.7,28.08,1202,6900,40,0,0,57.5,0.699965217
Quarter1,finishing ,0.8,2.9,,960,0,0,0,8,0.682708333
Quarter1,finishing ,0.8,2.9,,960,0,0,0,8,0.667604167
Quarter1,sweing,0.7,45.67,884,6960,26,0,0,58,0.603432184
Quarter1,finishing ,0.75,4.15,,960,0,0,0,8,0.345833333
Quarter1,finishing ,0.8,3.94,,1920,0,0,0,8,0.961059028
Quarter1,finishing ,0.8,3.94,,2400,0,0,0,10,0.939513889
Quarter1,finishing ,0.8,3.94,,3840,0,0,0,16,0.893663194
Quarter1,finishing ,0.75,4.15,,1920,0,0,0,8,0.875390625
Quarter1,sweing,0.8,26.16,1227,7080,75,0,0,59,0.850569492
Quarter1,finishing ,0.8,2.9,,1920,0,0,0,8,0.820833333
Quarter1,finishing ,0.8,3.94,,960,0,0,0,8,0.804416667
Quarter1,sweing,0.8,25.9,1255,6780,50,0,0,56.5,0.800684366
Quarter1,sweing,0.8,25.9,1047,6780,38,0,0,56.5,0.800684366
Quarter1,sweing,0.8,26.16,1138,7080,63,0,0,59,0.800318644
Quarter1,sweing,0.8,19.31,678,4800,50,0,0,55,0.800250962
Quarter1,sweing,0.8,11.61,712,7200,50,0,0,32,0.800246011
Quarter1,sweing,0.8,11.61,1037,7200,50,0,0,32,0.800246011
Quarter1,sweing,0.8,28.08,757,6900,50,0,0,57.5,0.800076522
Quarter1,sweing,0.8,28.08,759,6900,50,0,0,57.5,0.800076522
Quarter1,finishing ,0.75,2.9,,960,0,0,0,8,0.763375
Quarter1,finishing ,0.6,2.9,,960,0,0,0,8,0.759270833
Quarter1,sweing,0.75,28.08,1083,7020,45,0,0,58.5,0.7504
Quarter1,sweing,0.75,19.87,944,6600,45,0,0,55,0.75024303
Quarter1,finishing ,0.8,3.94,,960,0,0,0,8,0.676666667
Quarter1,finishing ,0.8,2.9,,960,0,0,0,8,0.664583333
Quarter1,sweing,0.6,21.98,666,6960,23,0,0,58,0.600028736
Quarter1,finishing ,0.8,3.94,,4440,0,0,0,18,0.966781346
Quarter1,finishing ,0.8,3.94,,1440,0,0,0,8,0.936496212
Quarter1,finishing ,0.75,4.15,,1800,0,0,0,10,0.899166667
Quarter1,finishing ,0.8,4.15,,2700,0,0,0,15,0.888686869
Quarter1,finishing ,0.8,3.94,,1440,0,0,0,8,0.858143939
Quarter1,sweing,0.8,26.16,1187,10620,75,0,0,59,0.850502311
Quarter1,sweing,0.8,26.16,1305,10620,75,0,0,59,0.850502311
Quarter1,finishing ,0.75,3.94,,1440,0,0,0,8,0.809640152
Quarter1,finishing ,0.8,3.94,,1440,0,0,0,8,0.805909091
Quarter1,sweing,0.8,28.08,716,10350,50,0,0,57.5,0.800594466
Quarter1,sweing,0.8,28.08,925,10350,50,0,0,57.5,0.800594466
Quarter1,sweing,0.8,19.87,963,9900,50,0,0,55,0.800273829
Quarter1,sweing,0.8,11.61,1101,5310,50,0,0,31.5,0.800140969
Quarter1,sweing,0.8,25.9,1035,10170,38,0,0,56.5,0.800128721
Quarter1,sweing,0.8,25.9,1083,10170,38,0,0,56.5,0.800128721
Quarter1,sweing,0.8,11.61,910,4470,38,0,0,31.5,0.80007657
Quarter1,sweing,0.75,28.08,1209,10530,45,0,0,58.5,0.750545455
Quarter1,sweing,0.75,19.31,590,9900,45,0,0,55,0.750057851
Quarter1,finishing ,0.8,2.9,,1440,0,0,0,8,0.681060606
Quarter1,sweing,0.65,21.98,808,10440,35,0,0,58,0.649983281
Quarter1,finishing ,0.8,2.9,,1440,0,0,0,8,0.61625
Quarter1,finishing ,0.8,3.94,,1440,0,0,0,8,0.951420455
Quarter1,finishing ,0.8,3.94,,1440,0,0,0,8,0.880530303
Quarter1,sweing,0.8,26.16,1179,10620,75,0,0,59,0.850502311
Quarter1,sweing,0.8,26.16,1324,10620,75,0,0,59,0.850502311
Quarter1,sweing,0.8,25.9,1135,10170,60,0,0,56.5,0.850136766
Quarter1,finishing ,0.75,4.15,,2700,0,0,0,15,0.83
Quarter1,finishing ,0.8,3.94,,4440,0,0,0,18,0.827186544
Quarter1,finishing ,0.8,3.94,,1440,0,0,0,8,0.813371212
Quarter1,finishing ,0.75,3.94,,1440,0,0,0,8,0.805909091
Quarter1,finishing ,0.8,2.9,,1440,0,0,0,8,0.804640152
Quarter1,sweing,0.8,28.08,776,10350,63,0,0,57.5,0.800594466
Quarter1,sweing,0.8,28.08,990,10350,50,0,0,57.5,0.800594466
Quarter1,sweing,0.8,11.41,986,5490,50,0,0,30.5,0.800343766
Quarter1,sweing,0.8,19.87,924,9900,50,0,0,55,0.800273829
Quarter1,sweing,0.8,11.61,1120,5670,50,0,0,31.5,0.800246753
Quarter1,sweing,0.8,25.9,1066,10170,50,0,0,56.5,0.800128721
Quarter1,sweing,0.75,28.08,1144,10530,69,0,0,58.5,0.8
Quarter1,sweing,0.7,21.98,413,9720,40,0,0,58,0.700480831
Quarter1,finishing ,0.8,2.9,,1440,0,0,0,8,0.681060606
Quarter1,finishing ,0.8,2.9,,1800,0,0,0,10,0.666515152
Quarter1,sweing,0.8,31.83,568,9900,40,0,0,55,0.412119835
Quarter1,finishing ,0.7,4.15,,1440,0,0,0,8,0.330113636
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.947689394
Quarter2,finishing ,0.8,3.94,,12600,0,0,0,20,0.919905405
Quarter2,sweing,0.8,26.16,1216,10620,88,0,0,59,0.900215716
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.891723485
Quarter2,sweing,0.8,26.16,1189,10620,75,0,0,59,0.850502311
Quarter2,sweing,0.8,28.08,942,10530,75,0,0,58.5,0.850181818
Quarter2,sweing,0.8,25.9,1050,10170,60,0,0,56.5,0.850136766
Quarter2,sweing,0.8,25.9,1026,10170,60,0,0,56.5,0.850136766
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.835757576
Quarter2,finishing ,0.7,4.15,,3840,0,0,0,8,0.821354167
Quarter2,sweing,0.8,28.08,783,10050,63,0,0,58.5,0.800497246
Quarter2,sweing,0.8,19.87,857,9900,50,0,0,55,0.800273829
Quarter2,sweing,0.8,11.61,548,15120,63,0,0,31.5,0.800107143
Quarter2,sweing,0.8,11.41,411,14640,50,0,0,30.5,0.800024932
Quarter2,sweing,0.75,28.08,1066,10530,69,0,0,58.5,0.8
Quarter2,finishing ,0.75,3.94,,1440,0,0,0,8,0.779791667
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.735984848
Quarter2,finishing ,0.75,4.15,,2160,0,0,0,12,0.712626263
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.681060606
Quarter2,finishing ,0.8,4.15,,900,0,0,0,5,0.515606061
Quarter2,sweing,0.35,12.52,287,25920,38,0,0,54,0.349951389
Quarter2,sweing,0.7,42.41,724,10260,0,0,0,57,0.233705476
Quarter2,finishing ,0.8,3.94,,2160,0,0,0,8,0.985
Quarter2,finishing ,0.75,4.15,,2760,0,0,0,12,0.930340376
Quarter2,finishing ,0.8,3.94,,6000,0,0,0,20,0.911589744
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.858143939
Quarter2,sweing,0.8,26.16,1122,10620,75,0,0,59,0.851174114
Quarter2,sweing,0.8,25.9,970,10170,60,0,0,56.5,0.850136766
Quarter2,sweing,0.8,25.9,1158,10170,60,0,0,56.5,0.850136766
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.846950758
Quarter2,finishing ,0.8,4.15,,1440,0,0,0,8,0.817424242
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.817102273
Quarter2,sweing,0.8,28.08,660,10440,63,0,0,58,0.801028213
Quarter2,sweing,0.8,28.08,749,10350,63,0,0,57.5,0.800594466
Quarter2,sweing,0.8,11.61,893,4710,50,0,0,31.5,0.800346445
Quarter2,sweing,0.8,11.41,887,5490,50,0,0,30.5,0.800343766
Quarter2,sweing,0.8,26.16,1335,10620,63,0,0,59,0.800117103
Quarter2,sweing,0.8,28.08,1082,10530,63,0,0,58.5,0.8
Quarter2,sweing,0.75,19.87,1075,7080,45,0,0,56,0.750098351
Quarter2,sweing,0.5,12.52,749,9540,38,0,0,53,0.673245283
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.670075758
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.628882576
Quarter2,sweing,0.5,20.79,966,7680,0,0,0,56,0.388007813
Quarter2,finishing ,0.5,4.15,,1440,0,0,0,8,0.337973485
Quarter2,finishing ,0.75,4.15,,1440,0,0,0,8,0.93532197
Quarter2,finishing ,0.8,3.94,,3600,0,0,0,20,0.925643939
Quarter2,sweing,0.8,26.16,1095,10620,88,0,0,59,0.900215716
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.873068182
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.858143939
Quarter2,sweing,0.8,26.16,1383,10620,75,0,0,59,0.850502311
Quarter2,sweing,0.8,25.9,1012,10170,45,0,0,56.5,0.850136766
Quarter2,sweing,0.8,25.9,1209,10170,60,0,0,56.5,0.850136766
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.828295455
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.820833333
Quarter2,sweing,0.8,11.41,887,5490,50,0,0,30.5,0.800343766
Quarter2,sweing,0.8,11.61,896,5670,50,0,0,31.5,0.800246753
Quarter2,sweing,0.8,28.08,805,10530,63,0,0,58.5,0.8
Quarter2,sweing,0.8,28.08,762,10530,38,0,0,58.5,0.8
Quarter2,sweing,0.8,19.87,1043,6420,0,0,0,55,0.690182815
Quarter2,finishing ,0.8,4.15,,1440,0,0,0,8,0.668087121
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.653598485
Quarter2,finishing ,0.5,4.15,,1440,0,0,0,8,0.609138258
Quarter2,sweing,0.6,12.52,831,9540,30,0,0,53,0.600229846
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.597348485
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.590435606
Quarter2,sweing,0.8,50.48,562,10440,0,0,0,58,0.473134796
Quarter2,sweing,0.6,20.79,1208,7980,0,0,0,57,0.452979626
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.955151515
Quarter2,finishing ,0.35,4.3,,3240,0,0,0,18,0.942213805
Quarter2,finishing ,0.8,4.15,,1800,0,0,0,10,0.905454545
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.880530303
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.858143939
Quarter2,sweing,0.8,26.16,1099,8220,75,0,0,59,0.850522167
Quarter2,sweing,0.8,26.16,1093,10620,75,0,0,59,0.850502311
Quarter2,sweing,0.8,25.9,1031,10170,60,0,0,56.5,0.850136766
Quarter2,sweing,0.8,25.9,1233,10170,60,0,0,56.5,0.850136766
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.817424242
Quarter2,finishing ,0.65,4.15,,1440,0,0,0,8,0.809564394
Quarter2,sweing,0.8,19.87,941,9900,0,0,0,55,0.800273829
Quarter2,sweing,0.8,11.41,843,5670,50,0,0,31.5,0.800181818
Quarter2,sweing,0.8,11.61,760,4470,50,0,0,31.5,0.80007657
Quarter2,sweing,0.8,28.08,737,10530,63,0,0,58.5,0.8
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.725
Quarter2,sweing,0.8,50.48,381,6930,45,0,0,58.5,0.688557555
Quarter2,sweing,0.65,20.79,1141,8460,0,0,0,59,0.650040783
Quarter2,sweing,0.65,12.52,1004,9540,44,0,0,53,0.64998056
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.648106061
Quarter2,finishing ,0.8,4.15,,1440,0,0,0,8,0.640577652
Quarter2,sweing,0.35,22.4,581,7350,0,0,0,51.5,0.35063299
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.24625
Quarter2,finishing ,0.35,4.3,,2160,0,0,0,12,0.952020202
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,2,0.951420455
Quarter2,finishing ,0.8,3.94,,5400,0,0,0,20,0.912766667
Quarter2,finishing ,0.8,4.15,,1620,0,0,0,9,0.901262626
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.858143939
Quarter2,sweing,0.8,26.16,1073,10620,75,0,0,59,0.850502311
Quarter2,sweing,0.8,26.16,1156,10620,75,0,0,59,0.850502311
Quarter2,sweing,0.8,25.9,1211,10260,60,0,0,57,0.850252525
Quarter2,sweing,0.8,25.9,1126,10170,60,0,0,56.5,0.850136766
Quarter2,finishing ,0.65,4.15,,1440,0,0,0,8,0.821354167
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.805909091
Quarter2,sweing,0.8,11.61,1004,5670,50,0,0,31.5,0.800246753
Quarter2,sweing,0.8,11.61,1063,5670,50,0,0,31.5,0.800246753
Quarter2,sweing,0.8,28.08,723,10530,50,0,0,58.5,0.8
Quarter2,sweing,0.8,42.27,465,9900,54,0,0,55,0.705576584
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.681060606
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.670075758
Quarter2,finishing ,0.8,4.15,,1440,0,0,0,8,0.601278409
Quarter2,sweing,0.7,27.13,530,9540,37,0,0,53,0.582301029
Quarter2,sweing,0.7,20.79,1297,10440,0,0,0,58,0.526810345
Quarter2,sweing,0.5,22.4,783,10170,23,0,0,56.5,0.500380799
Quarter2,sweing,0.35,22.4,715,10170,23,0,0,56.5,0.35020649
Quarter2,finishing ,0.8,4.15,,1980,0,0,0,7,0.934607438
Quarter2,finishing ,0.35,4.3,,2700,0,0,0,8,0.908080808
Quarter2,sweing,0.8,25.9,1150,10170,70,0,0,56.5,0.900144811
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.891723485
Quarter2,finishing ,0.65,4.15,,1440,0,0,0,15,0.864583333
Quarter2,finishing ,0.8,3.94,,1440,0,0,0,8,0.858143939
Quarter2,sweing,0.8,26.16,1232,10620,75,0,0,59,0.850502311
Quarter2,sweing,0.8,25.9,1218,10170,60,0,0,56.5,0.850136766
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.837594697
Quarter2,finishing ,0.8,4.15,,1440,0,0,0,7,0.820833333
Quarter2,sweing,0.8,11.61,1159,2970,50,0,0,31.5,0.800313433
Quarter2,sweing,0.8,11.61,972,5670,38,0,0,31.5,0.800246753
Quarter2,sweing,0.8,26.16,1092,10620,63,0,0,59,0.800117103
Quarter2,sweing,0.7,20.79,965,7320,0,0,0,58,0.700095563
Quarter2,finishing ,0.8,2.9,,1440,0,0,0,8,0.667329545
Quarter2,sweing,0.6,22.4,816,5100,23,0,0,57,0.600369686
Quarter2,sweing,0.5,22.4,947,3390,23,0,0,56.5,0.499980334
Quarter2,sweing,0.35,14.61,838,7200,23,0,0,55,0.35003125
Quarter2,finishing ,0.8,3.94,,1260,0,0,0,8,0.332359307
Quarter2,sweing,0.8,51.02,1086,4260,27,0,0,57,0.311207464
Quarter2,finishing ,0.8,3.94,,1260,0,0,0,8,0.247316017
Quarter3,finishing ,0.35,4.3,,3600,0,0,0,20,0.988636364
Quarter3,finishing ,0.8,3.94,,3420,0,0,0,19,0.953110048
Quarter3,finishing ,0.8,3.94,,1440,0,0,0,8,0.884261364
Quarter3,finishing ,0.65,4.15,,1440,0,0,0,8,0.860653409
Quarter3,finishing ,0.8,3.94,,1440,0,0,0,8,0.858143939
Quarter3,sweing,0.8,26.16,1160,10620,75,0,0,59,0.850502311
Quarter3,sweing,0.8,25.9,1177,8970,60,0,0,56.5,0.850415628
Quarter3,sweing,0.8,25.9,1281,10170,60,0,0,56.5,0.850136766
Quarter3,sweing,0.8,26.16,1369,10620,63,0,0,59,0.800117103
Quarter3,sweing,0.8,11.61,1084,4950,38,0,0,31.5,0.80003139
Quarter3,sweing,0.8,11.61,1216,4950,50,0,0,31.5,0.80003139
Quarter3,sweing,0.7,20.79,391,10440,0,0,0,58,0.700060345
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.689299242
Quarter3,sweing,0.5,22.52,1102,10170,30,0,0,56.5,0.660683293
Quarter3,sweing,0.65,22.52,872,10080,26,0,0,56,0.650130952
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.606912879
Quarter3,sweing,0.6,22.52,1076,10170,23,0,0,56.5,0.600291767
Quarter3,sweing,0.5,14.89,917,9900,30,0,0,55,0.500025069
Quarter3,sweing,0.5,22.94,1044,9810,23,0,0,54.5,0.499998888
Quarter3,finishing ,0.65,4.15,,2700,0,0,0,15,0.98719697
Quarter3,finishing ,0.8,3.94,,1800,0,0,0,10,0.980909091
Quarter3,finishing ,0.8,3.94,,1440,0,0,0,8,0.974621212
Quarter3,finishing ,0.8,3.94,,1440,0,0,0,8,0.884261364
Quarter3,finishing ,0.8,3.94,,1800,0,0,0,10,0.82680303
Quarter3,sweing,0.8,11.41,1067,5490,63,0,0,30.5,0.800343766
Quarter3,sweing,0.8,11.61,1039,5670,63,0,0,31.5,0.800246753
Quarter3,sweing,0.8,25.9,1396,10170,50,0,0,56.5,0.800128721
Quarter3,sweing,0.8,25.9,1292,10170,50,0,0,56.5,0.800128721
Quarter3,sweing,0.8,48.68,171,10620,63,0,0,59,0.800117103
Quarter3,sweing,0.8,26.16,1128,10620,63,0,0,59,0.800117103
Quarter3,sweing,0.6,22.94,865,6570,23,0,0,56.5,0.77011398
Quarter3,sweing,0.7,22.52,825,10170,50,0,0,56.5,0.7005417
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.675568182
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.661837121
Quarter3,sweing,0.65,22.52,1163,9720,35,0,0,54,0.650198653
Quarter3,sweing,0.6,22.52,1140,10170,30,0,0,56.5,0.600291767
Quarter3,sweing,0.6,14.89,1027,10080,38,0,0,56,0.600273268
Quarter3,finishing ,0.8,2.9,,900,0,0,0,5,0.465757576
Quarter3,sweing,0.7,41.19,1052,10440,21,0,0,58,0.452012539
Quarter3,finishing ,0.8,4.15,,1260,0,0,0,7,0.313852814
Quarter3,finishing ,0.6,4.15,,1440,0,0,0,8,0.852793561
Quarter3,finishing ,0.65,4.15,,2160,0,0,0,12,0.838383838
Quarter3,finishing ,0.8,2.9,,1800,0,0,0,10,0.804848485
Quarter3,sweing,0.8,11.41,1140,5490,63,0,0,30.5,0.800343766
Quarter3,sweing,0.8,48.84,624,10170,50,0,0,56.5,0.800128721
Quarter3,sweing,0.8,25.9,1288,10170,38,0,0,56.5,0.800128721
Quarter3,sweing,0.8,26.16,1381,3660,50,0,0,59,0.800015009
Quarter3,sweing,0.7,22.52,882,10170,50,0,0,56.5,0.7005417
Quarter3,sweing,0.7,22.52,1002,10080,40,0,0,56,0.700094156
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.692045455
Quarter3,sweing,0.8,26.87,585,5670,56,0,0,31.5,0.662255892
Quarter3,sweing,0.65,22.52,1138,10170,35,0,0,56.5,0.650416734
Quarter3,sweing,0.65,14.89,1140,10260,44,0,0,57,0.650299575
Quarter3,sweing,0.65,22.94,1025,10170,26,0,0,56.5,0.650243497
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.639867424
Quarter3,sweing,0.6,20.4,1031,10440,30,0,0,58,0.600062696
Quarter3,finishing ,0.8,3.94,,1800,0,0,0,10,0.582045455
Quarter3,sweing,0.8,49.1,1381,10350,24,0,0,57.5,0.403242161
Quarter3,finishing ,0.7,3.94,,1440,0,0,0,8,0.235795455
Quarter3,finishing ,0.7,4.3,,5040,0,0,0,28,0.977272727
Quarter3,finishing ,0.8,3.94,,1800,0,0,0,10,0.964106061
Quarter3,finishing ,0.65,4.15,,1440,0,0,0,8,0.958901515
Quarter3,sweing,0.8,11.41,1028,4380,50,0,0,31,0.800358775
Quarter3,sweing,0.8,25.9,1380,3630,50,0,0,56.5,0.800162602
Quarter3,sweing,0.8,26.16,1196,10620,63,0,0,59,0.800117103
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.793844697
Quarter3,sweing,0.7,22.94,1006,10170,38,0,0,56.5,0.750517565
Quarter3,sweing,0.7,22.52,930,10260,63,0,0,57,0.750068049
Quarter3,sweing,0.7,22.52,1095,10170,50,0,0,56.5,0.750062751
Quarter3,sweing,0.7,22.52,938,10080,63,0,0,56,0.750057359
Quarter3,sweing,0.7,14.89,1484,10260,50,0,0,57,0.700170388
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.683806818
Quarter3,sweing,0.65,20.4,1255,8280,35,0,0,58,0.650066445
Quarter3,sweing,0.8,48.84,1040,10260,30,0,0,57,0.576460393
Quarter3,sweing,0.5,22.94,1492,10170,30,0,0,56.5,0.549969429
Quarter3,finishing ,0.7,3.94,,1440,0,0,0,8,0.538399621
Quarter3,finishing ,0.7,4.15,,1440,0,0,0,8,0.409545455
Quarter3,sweing,0.35,15.26,1111,6120,23,0,0,34,0.35021836
Quarter3,finishing ,0.7,4.15,,1440,0,0,0,8,1.033570076
Quarter3,sweing,0.8,11.41,1047,5580,63,0,0,31,0.800261486
Quarter3,sweing,0.8,25.9,1434,10170,50,0,0,56.5,0.800128721
Quarter3,sweing,0.8,26.16,399,10620,63,0,0,59,0.800117103
Quarter3,sweing,0.7,22.52,983,10260,63,0,0,57,0.750068049
Quarter3,sweing,0.7,22.52,1108,10080,63,0,0,56,0.750057359
Quarter3,sweing,0.7,22.52,1134,8460,50,0,0,57,0.750037968
Quarter3,sweing,0.7,22.94,1363,10260,50,0,0,57,0.750031898
Quarter3,finishing ,0.8,3.94,,1800,0,0,0,10,0.72830303
Quarter3,sweing,0.7,14.89,1501,10260,50,0,0,57,0.700170388
Quarter3,sweing,0.7,20.4,1352,10260,50,0,0,57,0.700063796
Quarter3,finishing ,0.8,2.9,,1440,0,0,0,8,0.639867424
Quarter3,sweing,0.5,15.26,1352,3720,23,0,0,34,0.500290419
Quarter3,sweing,0.35,22.94,1450,10080,30,0,0,56,0.400332792
Quarter3,finishing ,0.7,4.15,,2700,0,0,0,15,0.362666667
Quarter3,finishing ,0.75,4.3,,6000,0,0,0,20,0.978525641
Quarter3,finishing ,0.7,3.94,,5100,0,0,0,17,0.912202112
Quarter3,sweing,0.75,22.52,825,10080,94,0,0,56,0.900556277
Quarter3,sweing,0.8,11.61,916,5760,75,0,0,89,0.850410511
Quarter3,finishing ,0.8,3.94,,2400,0,0,0,8,0.827147436
Quarter3,sweing,0.8,25.9,562,7470,38,0,0,56.5,0.800436542
Quarter3,sweing,0.7,22.94,1422,10500,60,0,0,57,0.800415742
Quarter3,sweing,0.7,22.52,1206,10080,75,0,0,56,0.800020563
Quarter3,finishing ,0.7,4.15,,2400,0,0,0,8,0.758173077
Quarter3,sweing,0.7,20.4,1404,10440,50,0,0,58,0.750344828
Quarter3,sweing,0.7,22.52,1139,10260,63,0,0,57,0.750068049
Quarter3,sweing,0.7,14.89,1735,10260,50,0,0,57,0.700170388
Quarter3,sweing,0.65,22.94,1595,10260,34,0,0,57,0.700029771
Quarter3,sweing,0.6,15.26,1245,6360,23,0,0,34,0.60017284
Quarter3,finishing ,0.8,2.9,,2400,0,0,0,8,0.594871795
Quarter3,sweing,0.8,54.56,757,4140,29,0,0,58,0.520237649
